"","town_name","B01003_001","B19013_001","B08303_001","B08301_001"
"1","Burlington",28077,121433,13625,14891
"2","Lexington",33304,185686,13714,15996
"3","Belmont",26158,140500,11457,13081
"4","Watertown",35749,100434,18828,21271
"5","Arlington",45379,114576,21571,25363
"6","Winchester",22760,173058,9273,10790
"7","Woburn",40297,92084,20576,22072
"8","Reading",25236,131515,11561,13368
"9","Stoneham",23625,103104,12364,13167
"10","Medford",58290,101168,32515,35554
"11","Somerville",81175,102311,49000,56108
"12","Cambridge",117822,107490,59476,68786
"13","Boston",689326,76298,348348,375912
"14","Everett",46275,70627,23773,25172
"15","Malden",60710,73399,29262,31677
"16","Melrose",28054,114604,13664,15315
"17","Wakefield",27041,103696,13371,14804
"18","Chelsea",39878,60370,18950,19839
"19","Revere",53400,68331,26402,27236
"20","Winthrop",18558,76996,9717,10453
"21","Wilmington",23390,133873,12194,12922
