file_name	url	most_common_town	most_mentioned_year	most_common_state	has_climate	has_community	total_words	total_pages	first100words	flood_count	storm_count	heat_count	air_pollution_count	indoor_air_quality_count	chemical_hazards_count	extreme_precipitation_count	fire_count	flood_percent	storm_percent	heat_percent	air_pollution_percent	indoor_air_quality_percent	chemical_hazards_percent	extreme_precipitation_percent	fire_percent	workshop_count	mapping_count	survey_count	conversation_count	community_meeting_count	small_group_discussion_count	inform_count	workshop_percent	mapping_percent	survey_percent	conversation_percent	community_meeting_percent	small_group_discussion_percent	inform_percent	town_name	towns_to_scrub	is_ACRES_town	is_INNER_CORE	is_MASS	duplicated	pass_checks2	Manual.Check	Checked.by	Manual.Check.11.19	REASON	Manual.Check_9.10	pass_checks3	pass_checks4
arlingtonurl12.json	https://cms5.revize.com/revize/chelseama/Document_Center/Archive/Planning%20Studies%20and%20Reports/20170215_chelsea_va.pdf	chelsea	2016	massachusetts	1	1	27495	146	January 2017 Designing Coastal Community Infrastructure for Climate Change City of Chelsea, Massach	453	108	0	0	1	3	21	0	77.304	18.43	0	0	0.171	0.512	3.584	0	2	0	4	0	6	0	0	16.667	0	33.333	0	50	0	0	ARLINGTON	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
arlingtonurl2.json	https://www.umb.edu/media/umassboston/content-assets/documents/Report-Learning-From-MVP-Greater-Boston-2022-05-24.pdf	boston	2021	massachusetts	1	1	23026	54	Learning from the Massachusetts Municipal Vulnerability Preparedness (MVP) Program in the Greater B	66	32	10	10	0	0	4	0	54.098	26.23	8.197	8.197	0	0	3.279	0	70	0	3	41	27	2	0	48.951	0	2.098	28.671	18.881	1.399	0	ARLINGTON	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
arlingtonurl15.json	https://cms7files1.revize.com/quincyma/Document%20Center/Residents/Multi-Hazard%20Mitigation%20Plan/Quincy%20HMP%205-Year%20Update%20Volume%202%20-%20Adopted%204-2-2019.pdf	quincy	2013	massachusetts	1	1	34611	183	CITY OF QUINCY MULTI- HAZARD MITIGATION PLAN 5-YEAR UPDATE Adopted April 2, 2019 Prepared for the C	384	156	30	35	5	3	19	4	60.377	24.528	4.717	5.503	0.786	0.472	2.987	0.629	16	0	49	1	13	0	0	20.253	0	62.025	1.266	16.456	0	0	ARLINGTON	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE		CM	INCLUDE	its what we want!		TRUE	TRUE
arlingtonurl24.json	https://www.tbf.org/-/media/tbf/reports-and-covers/2022/november/bf_climatefinal_spread.pdf	boston	2022	massachusetts	1	1	29924	78	The Boston Foundation IINNAAUUGGUURRAALL BBOOSSTTOONN CCLLIIMMAATTEE PPRROOGGRREESSSS RREEPPOORRTT 	36	58	11	4	2	0	4	1	31.034	50	9.483	3.448	1.724	0	3.448	0.862	2	0	10	4	7	0	0	8.696	0	43.478	17.391	30.435	0	0	ARLINGTON	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
arlingtonurl29.json	https://cityofeverett.com/wp-content/uploads/2021/10/Everett-HMP-2021-Update_draft-07-22-2021-lr.pdf	everett	2021	massachusetts	1	1	45839	306	Everett Hazard Mitigation Plan 2021 Update Everett, Massachusetts July 22, 2021 submitted to Federa	528	369	48	1	2	4	57	13	51.663	36.106	4.697	0.098	0.196	0.391	5.577	1.272	86	0	45	0	51	0	0	47.253	0	24.725	0	28.022	0	0	ARLINGTON	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
arlingtonurl31.json	https://www.boston.gov/sites/default/files/embed/file/2019-10/city_of_boston_2019_climate_action_plan_update_4.pdf	boston	2019	massachusetts	1	1	24031	88	CITY OF BOSTON CLIMATE ACTION PLAN 2019 UPDATE MAYOR MARTIN J. WALSH October 2019 1CONTENTS INTRODU	21	15	6	15	3	0	1	0	34.426	24.59	9.836	24.59	4.918	0	1.639	0	15	0	21	1	10	1	0	31.25	0	43.75	2.083	20.833	2.083	0	ARLINGTON	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
arlingtonurl39.json	https://www.epa.gov/system/files/documents/2024-03/boston-cambridge-newton-ma-nh-mapc-pcap.pdf	boston	2017	massachusetts	1	1	41467	156	Greater Boston Priority Climate Action Plan March 2024 Grant #: 00A01117 | Recipient: Metropolitan 	38	17	29	175	11	1	4	9	13.38	5.986	10.211	61.62	3.873	0.352	1.408	3.169	0	0	65	1	23	18	1	0	0	60.185	0.926	21.296	16.667	0.926	ARLINGTON	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
arlingtonurl45.json	https://arlingtonlandtrust.org/wp-content/uploads/2020/01/2016_Fall_ALT_Newsletter_web.pdf	arlington	2015	massachusetts	1	1	4852	8	N E W S V O L U M E 1 6 N U M B E R 1 F A L L 2 0 1 6 The Arlington Land Trust is a community-based	10	10	1	0	0	0	3	0	41.667	41.667	4.167	0	0	0	12.5	0	1	0	4	0	1	0	0	16.667	0	66.667	0	16.667	0	0	ARLINGTON	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
arlingtonurl55.json	https://www.abettercity.org/docs-new/extreme%20heat%20case%20studies%2051123.pdf	boston	2022	massachusetts	1	1	7123	21	CASE STUDIES: HOW BOSTON ORGANIZATIONS AND INSTITUTIONS CAN ENGAGE IN COMMUNITY HEAT RESILIENCE INI	1	12	53	9	0	0	1	0	1.316	15.789	69.737	11.842	0	0	1.316	0	1	0	3	0	9	0	0	7.692	0	23.077	0	69.231	0	0	ARLINGTON	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
arlingtonurl53.json	https://static1.squarespace.com/static/563d6078e4b0396c216603c8/t/64c184ca84316d44a8d5f988/1690404047425/_FINAL+REPORT+2023.06.29_BIM_ClimateVulnerabilityAssessment_ExecutiveSummary_final_wAppendix+-+rev-compressed.pdf	winthrop	2020	massachusetts	1	1	53848	205	Belle Isle Marsh Climate Vulnerability Assessment June 2023 PREPARED FOR: PREPARED BY: Town of Wint	1017	366	1	0	0	3	84	2	69.043	24.847	0.068	0	0	0.204	5.703	0.136	10	0	26	0	8	0	0	22.727	0	59.091	0	18.182	0	0	ARLINGTON	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
