file_name	url	most_common_town	most_mentioned_year	most_common_state	has_climate	has_community	total_words	total_pages	first100words	flood_count	storm_count	heat_count	air_pollution_count	indoor_air_quality_count	chemical_hazards_count	extreme_precipitation_count	fire_count	flood_percent	storm_percent	heat_percent	air_pollution_percent	indoor_air_quality_percent	chemical_hazards_percent	extreme_precipitation_percent	fire_percent	workshop_count	mapping_count	survey_count	conversation_count	community_meeting_count	small_group_discussion_count	inform_count	workshop_percent	mapping_percent	survey_percent	conversation_percent	community_meeting_percent	small_group_discussion_percent	inform_percent	town_name	is_ACRES_town	is_INNER_CORE	is_MASS	duplicated	pass_checks2	Manual.Check
arlingtonurl12.json	https://cms5.revize.com/revize/chelseama/Document_Center/Archive/Planning%20Studies%20and%20Reports/20170215_chelsea_va.pdf	chelsea	2016	massachusetts	1	1	27495	146	January 2017 Designing Coastal Community Infrastructure for Climate Change City of Chelsea, Massach	453	108	0	0	1	3	21	0	77.304	18.43	0	0	0.171	0.512	3.584	0	2	0	4	0	6	0	0	16.667	0	33.333	0	50	0	0	ARLINGTON	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE
arlingtonurl11.json	https://www.natureserve.org/sites/default/files/publications/files/ccvi_report_ny.pdf	washington	2010	new york	1	1	23671	67	Vulnerability of At-risk Species to Climate Change in New York Matthew D. Schlesinger, Jeffrey D. C	5	1	1	0	0	0	2	0	55.556	11.111	11.111	0	0	0	22.222	0	0	0	6	0	0	0	0	0	0	100	0	0	0	0	ARLINGTON	FALSE	FALSE	FALSE	FALSE	FALSE	
arlingtonurl1.json	https://www.nature.org/content/dam/tnc/nature/en/documents/Wellspring_FULL_Report_2019.pdf	washington	2018	colorado	1	1	28902	66	WELLSPRING Source Water Resilience and Climate Adaptationtable of contents Acknowledgements  .  . .	70	23	1	0	3	0	57	23	39.548	12.994	0.565	0	1.695	0	32.203	12.994	1	0	8	0	2	0	0	9.091	0	72.727	0	18.182	0	0	ARLINGTON	FALSE	FALSE	FALSE	FALSE	FALSE	
arlingtonurl14.json	https://dem.ri.gov/sites/g/files/xkgbur861/files/programs/benviron/water/pdfs/wwtfclimstudy.pdf	warwick	2010	rhode island	1	1	31878	246	TABLE OF CONTENTS SECTION PAGENO. EXECUTIVESUMMARY.................................................	1061	345	1	1	9	2	13	0	74.092	24.092	0.07	0.07	0.628	0.14	0.908	0	3	0	19	2	2	0	0	11.538	0	73.077	7.692	7.692	0	0	ARLINGTON	FALSE	FALSE	FALSE	FALSE	FALSE	
arlingtonurl10.json	https://www.transit.dot.gov/sites/fta.dot.gov/files/2024-05/TPE-FTA-Resilience-Guidebook-05-29-2024.pdf	montgomery	2021	maryland	1	1	27065	91	FTA Report No. 0265 Transit Resilience Guidebook PREPARED BY John A. Volpe National Transportation 	207	128	22	2	3	0	22	13	52.141	32.242	5.542	0.504	0.756	0	5.542	3.275	5	0	5	4	1	0	0	33.333	0	33.333	26.667	6.667	0	0	ARLINGTON	FALSE	FALSE	FALSE	FALSE	FALSE	
arlingtonurl13.json	https://www.mapc.org/wp-content/uploads/2023/05/Marlborough_MA-Draft-Hazard-Mitigation-Plan-2023-Update_05-16-23_webpage.pdf	marlborough	2023	massachusetts	1	1	41175	166	CITY OF MARLBOROUGH DRAFT HAZARD MITIGATION PLAN 2023 UPDATE Metropolitan Area Draft Plan Planning 	278	494	42	8	3	1	166	75	26.054	46.298	3.936	0.75	0.281	0.094	15.558	7.029	2	0	19	0	41	0	2	3.125	0	29.688	0	64.062	0	3.125	ARLINGTON	FALSE	FALSE	TRUE	FALSE	FALSE	
arlingtonurl16.json	https://www.pca.state.mn.us/sites/default/files/tdr-fg15-01.pdf	washington	2014	minnesota	1	1	28073	62	adaptation Minnesota Options to Increase Climate Resilience in Buildings Sara P. Hoverter Kraig Aha	39	31	18	1	8	1	5	0	37.864	30.097	17.476	0.971	7.767	0.971	4.854	0	0	0	2	1	13	0	1	0	0	11.765	5.882	76.471	0	5.882	ARLINGTON	FALSE	FALSE	FALSE	FALSE	FALSE	
arlingtonurl18.json	https://research.fit.edu/media/site-specific/researchfitedu/coast-climate-adaptation-library/united-states/east-coast/new-england/Hamin-et-al.-2014.-Adaptation-Barriers-In-Coastal-Massachusetts.pdf	boston	2010	massachusetts	1	1	9714	14	This article was downloaded by: [50.88.104.251] On: 13 March 2015, At: 13:27 Publisher: Routledge I	0	3	0	1	0	0	0	0	0	75	0	25	0	0	0	0	4	0	6	24	1	0	0	11.429	0	17.143	68.571	2.857	0	0	ARLINGTON	FALSE	TRUE	TRUE	FALSE	TRUE	EXCLUDE
arlingtonurl17.json	https://www.c2es.org/wp-content/uploads/2021/10/a-federal-policy-action-plan-to-accelerate-local-climate-resilience.pdf	washington	2021	washington	1	1	12079	26	U.S. POLICY A FEDERAL POLICY ACTION PLAN TO ACCELERATE LOCAL CLIMATE RESILIENCE by Laura Brush Amy 	43	11	6	0	0	0	11	18	48.315	12.36	6.742	0	0	0	12.36	20.225	5	0	2	12	1	0	0	25	0	10	60	5	0	0	ARLINGTON	FALSE	FALSE	FALSE	FALSE	FALSE	
arlingtonurl19.json	https://www.arlingtonva.us/files/sharedassets/public/environment/documents/clean-cep-roadmap-07-26-2022-with-cover.pdf	arlington	2019	virginia	1	1	26118	145	1Community Energy Plan (CEP) Roadmap for Arlington County Table of Contents Acronyms and Abbreviati	7	17	10	106	3	0	0	2	4.828	11.724	6.897	73.103	2.069	0	0	1.379	6	0	36	0	13	0	0	10.909	0	65.455	0	23.636	0	0	ARLINGTON	TRUE	TRUE	FALSE	FALSE	FALSE	
