Checked by|Manual Check 11.19|REASON|pass_checks2|Manual.Check_9.10|most_common_town|file_name
|EXCLUDE||TRUE|EXCLUDE|boston|arlingtonurl18.json
|||FALSE||arlington|arlingtonurl19.json
|INCLUDE||TRUE|INCLUDE|boston|arlingtonurl2.json
|||FALSE||washington|arlingtonurl16.json
CM|INCLUDE|its what we want!|TRUE||quincy|arlingtonurl15.json
|INCLUDE||TRUE|INCLUDE|chelsea|arlingtonurl12.json
|||FALSE||washington|arlingtonurl17.json
|||FALSE||washington|arlingtonurl1.json
|||FALSE||washington|arlingtonurl11.json
|||FALSE||montgomery|arlingtonurl10.json
|||FALSE||marlborough|arlingtonurl13.json
|||FALSE||cambridge|arlingtonurl28.json
|||FALSE||washington|arlingtonurl20.json
|||FALSE||lee|arlingtonurl25.json
|INCLUDE||TRUE|INCLUDE|boston|arlingtonurl24.json
|||FALSE||amherst|arlingtonurl27.json
|INCLUDE||TRUE|INCLUDE|woburn|arlingtonurl21.json
|||FALSE||warwick|arlingtonurl14.json
|||FALSE||cambridge|arlingtonurl23.json
|||FALSE||washington|arlingtonurl30.json
|INCLUDE||TRUE|INCLUDE|everett|arlingtonurl29.json
|||FALSE||foxborough|arlingtonurl33.json
|||FALSE||somerville|arlingtonurl3.json
|||FALSE||cambridge|arlingtonurl34.json
|INCLUDE||TRUE|INCLUDE|boston|arlingtonurl31.json
|||FALSE||cambridge|arlingtonurl38.json
|||FALSE||cambridge|arlingtonurl37.json
|INCLUDE||TRUE|INCLUDE|arlington|arlingtonurl45.json
|||FALSE||cambridge|arlingtonurl35.json
|||FALSE||cambridge|arlingtonurl4.json
|||FALSE||washington|arlingtonurl36.json
|||FALSE||lawrence|arlingtonurl32.json
|EXCLUDE||FALSE|EXCLUDE|washington|arlingtonurl42.json
|INCLUDE||TRUE|INCLUDE|boston|arlingtonurl39.json
|||FALSE||boston|arlingtonurl40.json
|||FALSE||washington|arlingtonurl43.json
|||FALSE||nantucket|arlingtonurl47.json
|||FALSE||arlington|arlingtonurl49.json
|||FALSE||florida|arlingtonurl46.json
|INCLUDE||TRUE|INCLUDE|winthrop|arlingtonurl53.json
|INCLUDE||TRUE|INCLUDE|boston|arlingtonurl55.json
|||FALSE||washington|arlingtonurl48.json
|||FALSE||washington|arlingtonurl50.json
|EXCLUDE||TRUE|EXCLUDE|boston|arlingtonurl51.json
|||FALSE||lawrence|arlingtonurl56.json
|||FALSE||washington|arlingtonurl5.json
|||FALSE||washington|arlingtonurl57.json
|EXCLUDE||FALSE|EXCLUDE|longmeadow|arlingtonurl59.json
|INCLUDE||TRUE|INCLUDE|boston|arlingtonurl6.json
|||FALSE||washington|arlingtonurl54.json
|||FALSE||arlington|arlingtonurl60.json
|||FALSE||norfolk|arlingtonurl62.json
|||FALSE||arlington|arlingtonurl64.json
|||FALSE||washington|arlingtonurl58.json
|||FALSE||washington|arlingtonurl61.json
|||FALSE||boston|arlingtonurl69.json
|||FALSE||clinton|arlingtonurl66.json
|||FALSE||washington|arlingtonurl63.json
|||FALSE||boston|arlingtonurl67.json
|||FALSE||boston|arlingtonurl68.json
|||FALSE||washington|arlingtonurl65.json
|||FALSE||arlington|arlingtonurl73.json
|||FALSE||florida|arlingtonurl74.json
