Checked by|Manual Check|REASON|pass_checks2|duplicated|file_name
|||FALSE|FALSE|arlingtonurl1.json
|||FALSE|FALSE|arlingtonurl10.json
|||FALSE|FALSE|arlingtonurl11.json
NC|INCLUDE||TRUE|FALSE|arlingtonurl12.json
|||FALSE|FALSE|arlingtonurl13.json
|||FALSE|FALSE|arlingtonurl14.json
|||FALSE|FALSE|arlingtonurl15.json
|||FALSE|FALSE|arlingtonurl16.json
|||FALSE|FALSE|arlingtonurl17.json
NC|EXCLUDE|Not ACRES town, All MA coast|TRUE|FALSE|arlingtonurl18.json
|||FALSE|FALSE|arlingtonurl19.json
NC|INCLUDE||TRUE|FALSE|arlingtonurl2.json
|||FALSE|FALSE|arlingtonurl20.json
NC|INCLUDE||TRUE|FALSE|arlingtonurl21.json
|||FALSE|FALSE|arlingtonurl23.json
NC|INCLUDE||TRUE|FALSE|arlingtonurl24.json
|||FALSE|FALSE|arlingtonurl25.json
|||FALSE|FALSE|arlingtonurl27.json
|||FALSE|FALSE|arlingtonurl28.json
NC|INCLUDE||TRUE|FALSE|arlingtonurl29.json
|||FALSE|FALSE|arlingtonurl3.json
|||FALSE|FALSE|arlingtonurl30.json
NC|INCLUDE||TRUE|FALSE|arlingtonurl31.json
|||FALSE|FALSE|arlingtonurl32.json
|||FALSE|FALSE|arlingtonurl33.json
|||FALSE|FALSE|arlingtonurl34.json
|||FALSE|FALSE|arlingtonurl35.json
|||FALSE|FALSE|arlingtonurl36.json
|||FALSE|FALSE|arlingtonurl37.json
|||FALSE|FALSE|arlingtonurl38.json
NC|INCLUDE||TRUE|FALSE|arlingtonurl39.json
|||FALSE|FALSE|arlingtonurl4.json
|||FALSE|FALSE|arlingtonurl40.json
CM|EXCLUDE|Not Massachusetts|FALSE|FALSE|arlingtonurl42.json
|||FALSE|FALSE|arlingtonurl43.json
CM|INCLUDE||TRUE|FALSE|arlingtonurl45.json
|||FALSE|FALSE|arlingtonurl46.json
|||FALSE|FALSE|arlingtonurl47.json
|||FALSE|FALSE|arlingtonurl48.json
|||FALSE|FALSE|arlingtonurl49.json
|||FALSE|FALSE|arlingtonurl5.json
|||FALSE|FALSE|arlingtonurl50.json
NC|EXCLUDE|Off-topic|TRUE|FALSE|arlingtonurl51.json
NC|INCLUDE||TRUE|FALSE|arlingtonurl53.json
|||FALSE|FALSE|arlingtonurl54.json
NC|INCLUDE|C-HEAT is referenced!|TRUE|FALSE|arlingtonurl55.json
|||FALSE|FALSE|arlingtonurl56.json
|||FALSE|FALSE|arlingtonurl57.json
|||FALSE|FALSE|arlingtonurl58.json
CM|EXCLUDE|Not ACRES town|FALSE|FALSE|arlingtonurl59.json
NC|INCLUDE|Cambridge should be the identified town|TRUE|FALSE|arlingtonurl6.json
|||FALSE|FALSE|arlingtonurl60.json
|||FALSE|FALSE|arlingtonurl61.json
|||FALSE|FALSE|arlingtonurl62.json
|||FALSE|FALSE|arlingtonurl63.json
|||FALSE|FALSE|arlingtonurl64.json
|||FALSE|FALSE|arlingtonurl65.json
|||FALSE|FALSE|arlingtonurl66.json
|||FALSE|FALSE|arlingtonurl67.json
|||FALSE|FALSE|arlingtonurl68.json
|||FALSE|FALSE|arlingtonurl69.json
CM|EXCLUDE|Not town-specific|FALSE|FALSE|arlingtonurl7.json
|||FALSE|FALSE|arlingtonurl70.json
NC|INCLUDE||TRUE|FALSE|arlingtonurl71.json
|||FALSE|FALSE|arlingtonurl72.json
|||FALSE|FALSE|arlingtonurl73.json
|||FALSE|FALSE|arlingtonurl74.json
|||FALSE|FALSE|arlingtonurl75.json
|||FALSE|FALSE|arlingtonurl76.json
|||FALSE|FALSE|arlingtonurl77.json
|||FALSE|FALSE|arlingtonurl78.json
|||FALSE|FALSE|arlingtonurl79.json
NC|INCLUDE||TRUE|FALSE|arlingtonurl8.json
|||FALSE|FALSE|arlingtonurl80.json
|||FALSE|FALSE|arlingtonurl81.json
|||FALSE|FALSE|arlingtonurl82.json
|||FALSE|FALSE|arlingtonurl83.json
|||FALSE|FALSE|arlingtonurl84.json
|||FALSE|FALSE|arlingtonurl85.json
|||FALSE|FALSE|arlingtonurl86.json
|||FALSE|FALSE|arlingtonurl87.json
|||FALSE|FALSE|arlingtonurl88.json
NC|EXCLUDE|Not specific ACRES community, all of upper mystic|TRUE|FALSE|arlingtonurl9.json
NC|INCLUDE||TRUE|FALSE|belmonturl1.json
|||FALSE|FALSE|belmonturl10.json
|||FALSE|FALSE|belmonturl11.json
|||FALSE|TRUE|belmonturl12.json
|||FALSE|FALSE|belmonturl13.json
|||FALSE|FALSE|belmonturl14.json
|||FALSE|TRUE|belmonturl15.json
|||FALSE|FALSE|belmonturl16.json
|||FALSE|FALSE|belmonturl17.json
|||FALSE|FALSE|belmonturl19.json
CM|EXCLUDE|Not ACRES town|FALSE|FALSE|belmonturl2.json
|||FALSE|FALSE|belmonturl21.json
|||FALSE|FALSE|belmonturl22.json
|||FALSE|FALSE|belmonturl23.json
AJ|INCLUDE||TRUE|FALSE|belmonturl24.json
AJ|EXCLUDE|it's a CV|TRUE|FALSE|belmonturl25.json
|||FALSE|FALSE|belmonturl26.json
|||FALSE|TRUE|belmonturl27.json
|||FALSE|FALSE|belmonturl28.json
|||FALSE|FALSE|belmonturl29.json
AJ|INCLUDE||TRUE|FALSE|belmonturl3.json
AJ|INCLUDE||TRUE|FALSE|belmonturl30.json
|||FALSE|FALSE|belmonturl31.json
|||FALSE|FALSE|belmonturl32.json
AJ|INCLUDE||TRUE|FALSE|belmonturl33.json
AJ|INCLUDE||TRUE|FALSE|belmonturl34.json
|||FALSE|FALSE|belmonturl35.json
